epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,66.5935,1.08868,1.9748,1.47696,0.62916,0.59066,0.62851,0.42083,1.69361,1.70286,1.38922,2.87504e-05,2.87504e-05,2.87504e-05
42,68.0945,0.83493,1.18237,1.21806,0.62916,0.59066,0.62851,0.42083,1.69361,1.70286,1.38922,2.89861e-05,2.89861e-05,2.89861e-05
43,69.6776,0.72129,0.85055,1.04969,0.59179,0.50638,0.5649,0.34765,1.67832,1.73984,1.38948,2.91983e-05,2.91983e-05,2.91983e-05
44,71.3718,0.83615,1.12048,1.21529,0.59179,0.50638,0.5649,0.34765,1.67832,1.73984,1.38948,2.93869e-05,2.93869e-05,2.93869e-05
45,73.1583,0.64145,0.9833,1.1715,0.60406,0.5,0.55477,0.33801,1.6881,1.78527,1.39725,2.9552e-05,2.9552e-05,2.9552e-05
46,74.6608,0.70658,0.9293,1.02861,0.60406,0.5,0.55477,0.33801,1.6881,1.78527,1.39725,2.96935e-05,2.96935e-05,2.96935e-05
47,76.3213,0.75884,0.95166,1.06256,0.6159,0.5,0.5319,0.31492,1.7038,1.83647,1.40954,2.98114e-05,2.98114e-05,2.98114e-05
48,78.1471,0.71852,0.83159,1.15724,0.6159,0.5,0.5319,0.31492,1.7038,1.83647,1.40954,2.99058e-05,2.99058e-05,2.99058e-05
49,79.8004,0.99533,1.20717,1.40572,0.79207,0.5,0.53332,0.31303,1.71787,1.86626,1.42053,2.99766e-05,2.99766e-05,2.99766e-05
50,81.4631,0.94315,1.58443,1.3576,0.79207,0.5,0.53332,0.31303,1.71787,1.86626,1.42053,3.00238e-05,3.00238e-05,3.00238e-05
51,83.3771,0.67382,0.89472,1.1165,0.80471,0.49935,0.51504,0.30693,1.71534,1.88772,1.42369,3.00475e-05,3.00475e-05,3.00475e-05
52,85.1173,0.85085,1.78676,1.41545,0.80471,0.49935,0.51504,0.30693,1.71534,1.88772,1.42369,3.00476e-05,3.00476e-05,3.00476e-05
53,86.6557,0.88019,0.84691,1.2882,0.80471,0.49935,0.51504,0.30693,1.71534,1.88772,1.42369,3.00242e-05,3.00242e-05,3.00242e-05
54,88.4783,0.83496,0.89356,1.1774,0.81428,0.41559,0.52206,0.29849,1.71058,1.94723,1.43225,2.99772e-05,2.99772e-05,2.99772e-05
55,90.0801,0.77921,0.73172,1.18906,0.81428,0.41559,0.52206,0.29849,1.71058,1.94723,1.43225,2.99066e-05,2.99066e-05,2.99066e-05
56,91.5637,0.85859,1.08982,1.28622,0.81428,0.41559,0.52206,0.29849,1.71058,1.94723,1.43225,2.98125e-05,2.98125e-05,2.98125e-05
57,93.1473,0.72019,0.81209,1.12098,0.81347,0.41599,0.53031,0.30166,1.71117,1.9628,1.43143,2.96948e-05,2.96948e-05,2.96948e-05
58,94.6508,0.70009,0.88123,1.09685,0.81347,0.41599,0.53031,0.30166,1.71117,1.9628,1.43143,2.95535e-05,2.95535e-05,2.95535e-05
59,96.1713,0.64266,0.80454,1.08631,0.81347,0.41599,0.53031,0.30166,1.71117,1.9628,1.43143,2.93887e-05,2.93887e-05,2.93887e-05
60,97.7434,0.48163,0.84063,0.94382,0.83178,0.41662,0.52398,0.30381,1.72705,1.98164,1.43394,2.92003e-05,2.92003e-05,2.92003e-05
61,99.2476,0.79428,0.81949,1.27058,0.83178,0.41662,0.52398,0.30381,1.72705,1.98164,1.43394,2.89884e-05,2.89884e-05,2.89884e-05
62,100.749,0.86482,0.97891,1.28779,0.83178,0.41662,0.52398,0.30381,1.72705,1.98164,1.43394,2.87529e-05,2.87529e-05,2.87529e-05
63,102.325,0.89693,0.73337,1.38076,0.83085,0.41577,0.52938,0.28772,1.71647,2.0088,1.42994,2.84938e-05,2.84938e-05,2.84938e-05
64,104.095,0.71779,1.0437,1.12922,0.83085,0.41577,0.52938,0.28772,1.71647,2.0088,1.42994,2.82112e-05,2.82112e-05,2.82112e-05
65,105.681,0.58647,0.68596,1.07813,0.83085,0.41577,0.52938,0.28772,1.71647,2.0088,1.42994,2.7905e-05,2.7905e-05,2.7905e-05
66,107.573,0.96099,1.21797,1.23866,0.83715,0.41531,0.53015,0.28803,1.73438,2.02212,1.43997,2.75753e-05,2.75753e-05,2.75753e-05
67,109.266,0.87715,1.24305,1.25806,0.83715,0.41531,0.53015,0.28803,1.73438,2.02212,1.43997,2.7222e-05,2.7222e-05,2.7222e-05
68,111.025,0.94361,1.34198,1.41201,0.83715,0.41531,0.53015,0.28803,1.73438,2.02212,1.43997,2.68451e-05,2.68451e-05,2.68451e-05
69,112.767,0.64373,0.65821,1.02881,0.83763,0.49823,0.53146,0.28781,1.74967,2.04814,1.44355,2.64447e-05,2.64447e-05,2.64447e-05
70,114.309,1.15028,1.14595,1.48681,0.83763,0.49823,0.53146,0.28781,1.74967,2.04814,1.44355,2.60207e-05,2.60207e-05,2.60207e-05
71,115.834,0.76323,0.63671,1.17157,0.83763,0.49823,0.53146,0.28781,1.74967,2.04814,1.44355,2.55731e-05,2.55731e-05,2.55731e-05
72,117.4,0.6858,1.03335,1.10521,0.85773,0.40988,0.4649,0.29832,1.71497,2.09257,1.4421,2.5102e-05,2.5102e-05,2.5102e-05
73,119.032,0.59802,0.63432,0.95745,0.85773,0.40988,0.4649,0.29832,1.71497,2.09257,1.4421,2.46073e-05,2.46073e-05,2.46073e-05
74,120.819,0.75526,0.8749,1.2311,0.85773,0.40988,0.4649,0.29832,1.71497,2.09257,1.4421,2.40891e-05,2.40891e-05,2.40891e-05
75,122.421,0.87276,0.85848,1.38707,0.85421,0.40886,0.4638,0.29753,1.74138,2.12663,1.44931,2.35472e-05,2.35472e-05,2.35472e-05
76,124.018,0.61863,0.73623,1.08256,0.85421,0.40886,0.4638,0.29753,1.74138,2.12663,1.44931,2.29819e-05,2.29819e-05,2.29819e-05
77,125.602,0.79617,1.01391,1.21243,0.85421,0.40886,0.4638,0.29753,1.74138,2.12663,1.44931,2.23929e-05,2.23929e-05,2.23929e-05
78,127.208,0.74877,0.84052,1.15121,0.85457,0.40895,0.42632,0.28045,1.76757,2.20174,1.48012,2.17805e-05,2.17805e-05,2.17805e-05
79,128.718,0.78487,0.77029,1.15716,0.85457,0.40895,0.42632,0.28045,1.76757,2.20174,1.48012,2.11444e-05,2.11444e-05,2.11444e-05
80,130.237,0.8784,0.7448,1.32788,0.85457,0.40895,0.42632,0.28045,1.76757,2.20174,1.48012,2.04848e-05,2.04848e-05,2.04848e-05
81,131.99,0.66418,0.57997,1.16094,0.85612,0.40894,0.42451,0.2758,1.77956,2.26635,1.51681,1.98016e-05,1.98016e-05,1.98016e-05
82,133.635,0.65971,0.65608,1.16769,0.85612,0.40894,0.42451,0.2758,1.77956,2.26635,1.51681,1.90949e-05,1.90949e-05,1.90949e-05
83,135.395,0.60748,0.96232,1.06099,0.85612,0.40894,0.42451,0.2758,1.77956,2.26635,1.51681,1.83646e-05,1.83646e-05,1.83646e-05
84,137.439,0.62795,0.70909,0.9865,0.85908,0.40937,0.42419,0.27867,1.79955,2.25009,1.52147,1.76107e-05,1.76107e-05,1.76107e-05
85,139.161,0.58675,0.60022,1.07569,0.85908,0.40937,0.42419,0.27867,1.79955,2.25009,1.52147,1.68333e-05,1.68333e-05,1.68333e-05
86,140.8,0.82115,0.99919,1.34367,0.85908,0.40937,0.42419,0.27867,1.79955,2.25009,1.52147,1.60323e-05,1.60323e-05,1.60323e-05
87,142.499,0.52921,0.7115,1.07922,0.85908,0.40937,0.42419,0.27867,1.79955,2.25009,1.52147,1.52077e-05,1.52077e-05,1.52077e-05
88,144.401,0.6875,0.95688,1.14426,0.86373,0.41052,0.42342,0.27733,1.85259,2.25458,1.54111,1.43596e-05,1.43596e-05,1.43596e-05
89,146.13,0.52661,0.63994,1.054,0.86373,0.41052,0.42342,0.27733,1.85259,2.25458,1.54111,1.34879e-05,1.34879e-05,1.34879e-05
90,147.756,0.59521,0.54901,1.0093,0.86373,0.41052,0.42342,0.27733,1.85259,2.25458,1.54111,1.25927e-05,1.25927e-05,1.25927e-05
91,149.294,0.54748,0.52104,1.02121,0.86373,0.41052,0.42342,0.27733,1.85259,2.25458,1.54111,1.16739e-05,1.16739e-05,1.16739e-05
92,150.995,0.55061,0.51713,0.8694,0.86358,0.4097,0.4235,0.27625,1.88218,2.21402,1.5441,1.07315e-05,1.07315e-05,1.07315e-05
93,152.836,0.60304,0.60855,1.0798,0.86358,0.4097,0.4235,0.27625,1.88218,2.21402,1.5441,9.76562e-06,9.76562e-06,9.76562e-06
94,154.424,0.43718,0.46863,0.89331,0.86358,0.4097,0.4235,0.27625,1.88218,2.21402,1.5441,8.77613e-06,8.77613e-06,8.77613e-06
95,156.293,0.46467,0.43472,0.90639,0.86358,0.4097,0.4235,0.27625,1.88218,2.21402,1.5441,7.76308e-06,7.76308e-06,7.76308e-06
96,157.868,0.58499,0.46365,0.98468,0.83347,0.49919,0.51459,0.29499,1.87799,2.05611,1.52057,6.72648e-06,6.72648e-06,6.72648e-06
97,159.419,0.56476,0.54881,0.90463,0.83347,0.49919,0.51459,0.29499,1.87799,2.05611,1.52057,5.6663e-06,5.6663e-06,5.6663e-06
98,160.984,0.60055,0.5663,0.98742,0.83347,0.49919,0.51459,0.29499,1.87799,2.05611,1.52057,4.58257e-06,4.58257e-06,4.58257e-06
99,162.554,0.61072,0.53198,1.04811,0.83347,0.49919,0.51459,0.29499,1.87799,2.05611,1.52057,3.47528e-06,3.47528e-06,3.47528e-06
100,164.121,0.41936,0.45481,0.95285,0.64282,0.51365,0.53968,0.28757,1.80819,2.09922,1.51916,2.34442e-06,2.34442e-06,2.34442e-06
